,Property Address,Property City,Sale Price,Latitude,Longitude,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
871,914  CARUTHERS  AVE,NASHVILLE,$929.9k,36.1257611,-86.7847964,,,,,,20,18,13,20,20
872,2800  27TH  AVE S,NASHVILLE,$610.0k,36.1254987,-86.8107559,,,,,,20,17,12,20,20
873,533  WILLIAMSBURG  DR,NASHVILLE,$167.0k,36.125347,-86.630752,,,,,,20,6,0,7,20
874,842  BRESSLYN  RD,NASHVILLE,$662.0k,36.1251072,-86.8896676,,,,,,20,8,3,20,20
875,3604   SARATOGA  DR,NASHVILLE,$775.0k,36.1250974,-86.8237877,,,,,,20,19,10,20,20
876,517  FOOTHILL  DR,NASHVILLE,$355.0k,36.1250673,-86.7237775,,,,,,20,9,4,20,20
877,857  BELTON  DR,NASHVILLE,$715.0k,36.124671,-86.8968787,,,,,,20,8,1,20,13
878,2219  SADLER  AVE,NASHVILLE,$250.0k,36.1242577,-86.7486106,,,,,,20,12,9,20,20
879,1210  VULTEE  BLVD,NASHVILLE,$305.0k,36.1241151,-86.7021365,,,,,,20,6,4,7,20
880,553  ROSEDALE  AVE,NASHVILLE,$350.0k,36.1238287,-86.7617257,,,,,,20,17,9,20,20
881,916 B  MONTROSE  AVE,NASHVILLE,$899.0k,36.1235899,-86.7852047,,,,,,20,18,12,20,20
882,2723 A  WESTWOOD  DR,NASHVILLE,$737.7k,36.1234981,-86.774978,,,,,,20,19,9,20,20
883,2723 B  WESTWOOD  DR,NASHVILLE,$737.7k,36.1234423,-86.7749595,,,,,,20,19,9,20,20
884,2725 C  WESTWOOD  DR,NASHVILLE,$737.7k,36.123357,-86.774907,,,,,,20,19,9,20,20
885,2725 D  WESTWOOD  DR,NASHVILLE,$737.7k,36.123357,-86.774907,,,,,,20,19,9,20,20
886,2734  ROSEDALE  PL,NASHVILLE,$460.0k,36.1232761,-86.7625148,,,,,,20,17,9,20,20
887,2727 C  WESTWOOD  DR,NASHVILLE,$737.7k,36.1232064,-86.7749035,,,,,,20,19,9,20,20
888,2727 D  WESTWOOD  DR,NASHVILLE,$737.7k,36.1232064,-86.7749035,,,,,,20,19,9,20,20
889,803 A MONTROSE  AVE,NASHVILLE,$850.0k,36.1231977,-86.7821754,,,,,,20,18,12,20,20
890,313  ROSE  ST,NASHVILLE,$210.0k,36.1231121,-86.7462339,,,,,,20,13,8,20,20
891,2917  23RD  AVE S,NASHVILLE,$749.0k,36.1230058,-86.815091,,,,,,20,17,10,20,20
892,2233  FOSTER  AVE,NASHVILLE,$450.0k,36.1229172,-86.7429535,,,,,,20,13,8,20,20
893,2233  FOSTER  AVE,NASHVILLE,$450.0k,36.1229172,-86.7429535,,,,,,20,13,8,20,20
894,2803  VAULX  LN,NASHVILLE,$750.0k,36.1228347,-86.780812,,,,,,20,18,10,20,20
895,712  SHAWNEE  DR,NASHVILLE,$575.0k,36.1226026,-86.8996269,,,,,,20,7,1,20,13
896,615  BOWLING  AVE,NASHVILLE,$1515.0k,36.1224545,-86.8271133,,,,,,20,19,10,20,20
897,728  WINTHORNE  DR,NASHVILLE,$365.0k,36.1224512,-86.7087222,,,,,,20,7,4,9,20
898,2242  FOSTER  AVE,NASHVILLE,$295.0k,36.1223543,-86.7425214,,,,,,20,12,8,20,20
899,321  ORIEL  AVE,NASHVILLE,$285.0k,36.1222026,-86.7470982,,,,,,20,13,10,20,20
900,1001  CATAMOUNT  PASS,NASHVILLE,$248.5k,36.1219924,-86.6269795,,,,,,20,6,0,5,20
