,Property Address,Property City,Sale Price,Latitude,Longitude,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
1046,1201  CANTERBURY  DR,NASHVILLE,$2100.0k,36.0887218,-86.8654159,,,,,,15,4,2,20,20
1047,102  EMMA NEUHOFF  CT,NASHVILLE,$340.0k,36.088523,-86.887548,,,,,,20,4,2,4,8
1048,3961  ATKINS  DR,NASHVILLE,$310.0k,36.0884624,-86.7096264,,,,,,20,12,4,17,20
1049,6704  BOUNDARY  RUN,NASHVILLE,$380.0k,36.0877401,-87.0053339,,,,,,8,1,2,2,2
1050,101  CHEEKWOOD  TER,NASHVILLE,$800.0k,36.0875929,-86.8806941,,,,,,14,3,2,5,5
1051,516  FLINTLOCK  CT,NASHVILLE,$210.0k,36.0875,-86.632447,,,,,,20,9,3,7,18
1052,512  FLINTLOCK  CT,NASHVILLE,$232.0k,36.087376,-86.63262,,,,,,20,9,3,7,18
1053,1200  WAVERUNNER  CT W,NASHVILLE,$128.0k,36.0872524,-86.6267532,,,,,,20,9,3,5,15
1054,128   NASHBORO  GRNS,NASHVILLE,$335.0k,36.0871894,-86.6477417,,,,,,20,10,2,8,20
1055,304  MAYBELLE  LN,NASHVILLE,$3400.0k,36.0869037,-86.8713928,,,,,,12,4,2,9,5
1056,261  CANA  CIR,NASHVILLE,$25.5k,36.0868334,-86.889164,,,,,,20,4,2,5,7
1057,261  CANA  CIR,NASHVILLE,$365.0k,36.0868334,-86.889164,,,,,,20,4,2,5,7
1058,420  ELYSIAN FIELDS  RD,NASHVILLE,$165.0k,36.0866793,-86.7321569,,,,,,20,13,3,20,20
1059,420  ELYSIAN FIELDS  RD,NASHVILLE,$149.9k,36.0866793,-86.7321569,,,,,,20,13,3,20,20
1060,905  GLENMARY  CT,NASHVILLE,$360.0k,36.0865667,-86.8902552,,,,,,20,4,2,5,7
1061,704  FLINTLOCK  CT,NASHVILLE,$235.0k,36.0863299,-86.635918,,,,,,20,11,2,7,20
1062,8433  ROLLING HILLS  DR,NASHVILLE,$850.0k,36.085807,-86.9840757,,,,,,12,1,3,4,6
1063,517  TITAN  CT,ANTIOCH,$294.0k,36.0856337,-86.6517217,,,,,,20,11,2,8,20
1064,712  ROCKY MOUNTAIN  CT,ANTIOCH,$336.0k,36.0853983,-86.6554968,,,,,,20,11,2,7,20
1065,924  PERCY WARNER  BLVD,NASHVILLE,$515.0k,36.0851123,-86.8832435,,,,,,14,3,2,4,5
1066,2907  TYNE  BLVD,NASHVILLE,$2200.0k,36.085107,-86.8519802,,,,,,19,5,2,20,20
1067,6872  BRIDGEWATER  DR,NASHVILLE,$385.0k,36.0848627,-87.0055109,,,,,,8,1,2,2,2
1068,343  WESTFIELD  DR,NASHVILLE,$260.0k,36.084541,-86.946622,,,,,,20,6,3,8,11
1069,4856  ASTER  DR,NASHVILLE,$449.9k,36.0845173,-86.718943,,,,,,20,13,4,20,20
1070,4517  ALCOTT  DR,NASHVILLE,$3000.0k,36.084197,-86.8424654,,,,,,19,5,1,17,20
1071,8413  MERRYMOUNT  DR,NASHVILLE,$430.0k,36.0839837,-86.9888202,,,,,,12,1,2,4,6
1072,2517  SOMERSET  DR,NASHVILLE,$351.0k,36.0837981,-86.6345969,,,,,,20,11,3,7,20
1073,320  WELCH  RD,NASHVILLE,$52.0k,36.083786,-86.724211,,,,,,20,13,3,20,20
1074,320  WELCH  RD,NASHVILLE,$30.0k,36.083786,-86.724211,,,,,,20,13,3,20,20
1075,637  RANSOM VILLAGE  WAY,ANTIOCH,$260.0k,36.0837661,-86.6516824,,,,,,20,11,2,8,20
1076,844  ROCKY MOUNTAIN  PKWY,ANTIOCH,$350.1k,36.083745,-86.653765,,,,,,20,11,2,8,20
1077,108  ELLSWORTH  PL,ANTIOCH,$291.0k,36.0835596,-86.5855122,,,,,,18,7,3,2,6
1078,2921  NAUTILUS  DR,NASHVILLE,$345.0k,36.0834926,-86.6074879,,,,,,20,8,3,3,12
1079,3904  WATERFORD  WAY,ANTIOCH,$350.0k,36.0832701,-86.5820643,,,,,,15,7,3,2,5
1080,7008  LEXINGTON POINT  DR,NASHVILLE,$359.0k,36.0831379,-87.0093374,,,,,,8,1,2,0,1
1081,2516  RAVINE  DR,NASHVILLE,$230.0k,36.0830731,-86.635975,,,,,,20,11,3,7,20
1082,869  BISHOPSGATE  RD,ANTIOCH,$295.0k,36.0829147,-86.6591997,,,,,,20,12,3,8,20
1083,602  ELAINE  DR,NASHVILLE,$415.0k,36.0828218,-86.7494552,,,,,,20,11,4,20,20
1084,2864  RURAL HILL  CIR,NASHVILLE,$258.5k,36.082786,-86.6227044,,,,,,20,8,3,6,16
1085,3530  GONDOLA  DR,ANTIOCH,$200.0k,36.08236,-86.603201,,,,,,20,8,3,3,12
1086,3620  BUTLER  RD,NASHVILLE,$277.8k,36.0822786,-86.6187559,,,,,,20,8,3,5,14
1087,4853  LYNN  DR,NASHVILLE,$330.0k,36.0822018,-86.7367457,,,,,,20,12,4,20,20
1088,2408  HEMINGWAY  DR,NASHVILLE,$1100.0k,36.082172,-86.8420929,,,,,,19,5,1,13,20
1089,3212  NEWINGTON  CV,ANTIOCH,$314.4k,36.0821038,-86.5861541,,,,,,19,7,3,2,7
1090,134  SHIAWAY  CT,NASHVILLE,$280.0k,36.0818502,-86.6499111,,,,,,20,11,2,8,20
1091,7813  FARMINGTON  PL,NASHVILLE,$390.0k,36.0816194,-87.0114081,,,,,,5,1,2,0,0
1092,192  SHIAWAY  CT,NASHVILLE,$272.5k,36.081367,-86.6489369,,,,,,20,11,3,8,20
1093,212  SUMMIT OAKS  PL,NASHVILLE,$656.0k,36.0811019,-86.9227205,,,,,,20,6,1,7,13
1094,2442  SCOTT VALLEY  DR,NASHVILLE,$170.0k,36.0810529,-86.6456598,,,,,,20,11,2,8,20
1095,205  STILL SPRING HOLLOW  CT,NASHVILLE,$540.0k,36.0810107,-86.9249853,,,,,,20,6,1,7,11
1096,209  POST CREEK  RD,NASHVILLE,$250.0k,36.080914,-86.9311132,,,,,,20,6,3,8,11
1097,8025  SETTLERS  WAY,NASHVILLE,$420.0k,36.0801394,-87.0133225,,,,,,3,1,2,0,0
1098,7441  HARNESS  DR,NASHVILLE,$440.0k,36.0799272,-86.9388696,,,,,,20,6,3,8,11
1099,21  VAUGHNS GAP  RD,NASHVILLE,$204.0k,36.0798356,-86.8855963,,,,,,14,3,2,4,5
1100,21  VAUGHNS GAP  RD,NASHVILLE,$245.0k,36.0798356,-86.8855963,,,,,,14,3,2,4,5
1101,712  BAYSWATER  CIR,ANTIOCH,$264.2k,36.0795966,-86.6649845,,,,,,20,11,3,8,20
1102,644  HARDING  PL,NASHVILLE,$446.0k,36.0794081,-86.7463714,,,,,,20,10,4,20,20
1103,1301  RAVENNA  CT S,ANTIOCH,$370.0k,36.0792508,-86.5999185,,,,,,20,8,3,2,14
1104,516  WAGON  CT,NASHVILLE,$500.0k,36.0791851,-86.9307581,,,,,,20,6,3,8,11
1105,3200  COUNTRY HILL  RD,ANTIOCH,$293.0k,36.0790669,-86.6100114,,,,,,20,8,3,3,15
1106,109  ELIZABETHS  CT,ANTIOCH,$220.0k,36.079002,-86.659036,,,,,,20,12,3,9,20
1107,2705  EDGE O LAKE  DR,NASHVILLE,$220.0k,36.078712,-86.6322209,,,,,,20,11,3,7,20
1108,104  ZURIC  CT,NASHVILLE,$462.5k,36.0787044,-86.9243982,,,,,,20,6,1,8,11
1109,550  HARDING  PL,NASHVILLE,$105.0k,36.0785424,-86.7386907,,,,,,20,13,4,20,20
1110,550  HARDING  PL,NASHVILLE,$83.5k,36.0785424,-86.7386907,,,,,,20,13,4,20,20
1111,4716  BRIARWOOD  DR,NASHVILLE,$525.0k,36.0781258,-86.7570164,,,,,,20,10,4,20,20
1112,4716   BRIARWOOD  DR,NASHVILLE,$525.0k,36.0781258,-86.7570164,,,,,,20,10,4,20,20
1113,259  WILLOW  LN,NASHVILLE,$295.0k,36.0779588,-86.7102554,,,,,,20,13,3,17,20
1114,104  CHETOPA  CT,ANTIOCH,$314.0k,36.0778803,-86.6688799,,,,,,20,12,3,14,20
1115,4718   BRIARWOOD  DR,NASHVILLE,$525.0k,36.0778027,-86.7568819,,,,,,20,10,4,20,20
1116,441  HARDING  PL,NASHVILLE,$105.0k,36.0777961,-86.7303292,,,,,,20,12,4,20,20
1117,118  CARRIAGE  DR,NASHVILLE,$435.0k,36.0777515,-86.9423547,,,,,,20,6,3,8,10
1118,2921  SPLIT OAK  TRL,ANTIOCH,$317.0k,36.0776093,-86.6514856,,,,,,20,12,3,8,20
1119,1533  BROCKTON  LN,NASHVILLE,$391.0k,36.0773909,-86.9904078,,,,,,14,3,2,6,8
1120,611  HARDING  PL,NASHVILLE,$250.0k,36.0773723,-86.7416963,,,,,,20,11,4,20,20
1121,4624  BILLINGSGATE  RD,ANTIOCH,$330.0k,36.0772124,-86.6692734,,,,,,20,12,3,15,20
1122,600  OAK FOREST  LN,ANTIOCH,$320.0k,36.0771034,-86.6556345,,,,,,20,12,3,9,20
1123,4826  BRIARWOOD  DR,NASHVILLE,$350.0k,36.0770811,-86.7513211,,,,,,20,10,4,20,20
1124,3428  DAISY  TRL,ANTIOCH,$295.0k,36.0770269,-86.5989897,,,,,,20,9,3,2,14
1125,310  GARRETT  DR,NASHVILLE,$453.0k,36.0770064,-86.7422856,,,,,,20,11,4,20,20
1126,4740  BILLINGSGATE  RD,ANTIOCH,$369.0k,36.0767194,-86.6652599,,,,,,20,12,3,8,20
1127,433  DEER LAKE  DR,NASHVILLE,$128.0k,36.076642,-86.92567,,,,,,20,6,1,8,11
1128,3242 A ANDERSON  RD,ANTIOCH,$168.8k,36.0766342,-86.6085166,,,,,,20,8,3,5,17
1129,3604  SOUTHERN  WAY,ANTIOCH,$300.0k,36.0764063,-86.5965467,,,,,,20,9,3,2,11
1130,7313  CAVALIER  RD,NASHVILLE,$450.0k,36.0762349,-86.9315409,,,,,,20,6,3,8,11
1131,521  SADDLE  DR,NASHVILLE,$625.0k,36.0760282,-86.9334193,,,,,,20,6,3,8,11
1132,3103  WOODYMORE  DR,ANTIOCH,$230.0k,36.0758572,-86.6091414,,,,,,20,8,3,5,17
1133,3285  CLAPHAM  RD,ANTIOCH,$225.0k,36.0758494,-86.6522728,,,,,,20,12,3,9,20
1134,8207  SAWYER BROWN  RD,NASHVILLE,$245.0k,36.0750471,-86.9479915,,,,,,20,5,3,8,10
1135,8207  SAWYER BROWN  RD,NASHVILLE,$300.0k,36.0750471,-86.9479915,,,,,,20,5,3,8,10
1136,4061  ALICIA  LN,ANTIOCH,$366.0k,36.0750074,-86.6111219,,,,,,20,8,3,6,17
1137,224  WINDSOR TERRACE  DR,NASHVILLE,$355.0k,36.0747726,-86.9102701,,,,,,20,6,1,8,12
1138,328   DADE  DR,NASHVILLE,$287.0k,36.0747384,-86.7039695,,,,,,20,12,3,13,20
1139,409  CEDARCLIFF  RD,ANTIOCH,$355.0k,36.0746788,-86.6225469,,,,,,20,8,3,6,19
1140,330  DADE  DR,NASHVILLE,$287.0k,36.0746556,-86.7042794,,,,,,20,12,3,13,20
1141,330   DADE  DR,NASHVILLE,$287.0k,36.0746556,-86.7042794,,,,,,20,12,3,13,20
1142,319  DEER LAKE  DR,NASHVILLE,$165.0k,36.074629,-86.925723,,,,,,20,6,1,8,10
1143,649   BRISTOL CREEK  DR,NASHVILLE,$340.0k,36.0745187,-86.9295547,,,,,,20,6,2,8,10
1144,945  TODD PREIS  DR,NASHVILLE,$309.9k,36.0739021,-86.950772,,,,,,20,5,3,8,10
1145,317   MARGO  LN,NASHVILLE,$605.0k,36.0736805,-86.7013086,,,,,,20,13,1,14,20
1146,1232  TWIN CIRCLE  DR,NASHVILLE,$265.0k,36.0736776,-86.6292023,,,,,,20,8,3,6,20
1147,1759  TYNE  BLVD,NASHVILLE,$1850.0k,36.0736481,-86.8239869,,,,,,8,2,2,18,20
1148,3433  COUNTRY WAY  RD,ANTIOCH,$345.0k,36.0736184,-86.5999748,,,,,,20,9,3,2,14
1149,776  WOLFEBORO  LN,NASHVILLE,$544.3k,36.0733716,-86.9886639,,,,,,14,3,3,6,8
1150,1101  CHATEAU  LN,NASHVILLE,$1447.0k,36.07334,-86.846611,,,,,,12,2,1,12,20
1151,704  SOMERSET FARMS  CT,NASHVILLE,$456.8k,36.0732607,-86.9681573,,,,,,20,5,3,7,10
1152,8300  SAWYER BROWN  RD,NASHVILLE,$290.0k,36.073231,-86.945832,,,,,,20,5,3,8,10
1153,3113  STONEYBROOK  CIR,ANTIOCH,$240.0k,36.0732201,-86.608406,,,,,,20,8,3,6,17
1154,1765  TYNE  BLVD,NASHVILLE,$1850.0k,36.073094,-86.824319,,,,,,8,2,2,18,20
1155,860  OAKWOOD TERRACE  DR,ANTIOCH,$275.0k,36.0730515,-86.6722243,,,,,,20,16,3,16,20
1156,1178  TRAVELERS RIDGE  DR,NASHVILLE,$1400.0k,36.0727798,-86.8061655,,,,,,20,4,4,20,20
1157,4997  EDMONDSON  PIKE,NASHVILLE,$287.0k,36.0727602,-86.732777,,,,,,20,12,3,20,20
1158,215  MYHR  GRN,NASHVILLE,$310.5k,36.072297,-86.932066,,,,,,20,5,2,8,10
1159,3107  HARPETH SPRINGS  DR,NASHVILLE,$265.0k,36.0720082,-86.9741243,,,,,,19,5,3,7,10
1160,1220  QUAISE MOOR  E,ANTIOCH,$374.1k,36.071993,-86.5965073,,,,,,20,7,3,2,11
1161,917  TODD PREIS  DR,NASHVILLE,$298.0k,36.071913,-86.94819,,,,,,20,5,3,7,10
1162,349  CEDARCLIFF  RD,ANTIOCH,$265.0k,36.0717635,-86.6229801,,,,,,20,8,3,6,20
1163,1913  SEASONS LAKE  CT,ANTIOCH,$376.0k,36.0716815,-86.5915026,,,,,,20,7,3,2,10
1164,600  VALLEY TRACE  CT,NASHVILLE,$650.0k,36.071614,-86.8993834,,,,,,19,4,1,6,10
1165,3277  TOWNE VILLAGE  RD,ANTIOCH,$275.5k,36.0715361,-86.6013538,,,,,,20,9,3,2,14
1166,5044  PEBBLE CREEK  DR,ANTIOCH,$255.0k,36.0710818,-86.6547524,,,,,,20,12,3,9,20
1167,953   MULBERRY HILL  PL,ANTIOCH,$314.9k,36.0704834,-86.6528968,,,,,,20,12,3,9,20
1168,5003  MARCHANT  DR,NASHVILLE,$730.0k,36.0704664,-86.7499069,,,,,,20,11,3,20,20
1169,7232  OLE NOTTINGHAM  DR,ANTIOCH,$277.2k,36.0703258,-86.5751453,,,,,,11,5,2,1,5
1170,3044  FIELDSTONE  DR,ANTIOCH,$320.1k,36.0700923,-86.61786,,,,,,20,8,3,6,19
1171,4652  FANNING  DR,ANTIOCH,$185.0k,36.0698117,-86.6716735,,,,,,20,15,3,16,20
1172,850  TODD PREIS  DR,NASHVILLE,$285.0k,36.069794,-86.944421,,,,,,20,5,3,7,10
1173,4753  MINERS  CV,ANTIOCH,$295.0k,36.0697506,-86.6679356,,,,,,20,14,3,12,20
1174,7532  W WINCHESTER  DR,ANTIOCH,$270.0k,36.0696029,-86.5795604,,,,,,16,7,3,2,6
1175,3101  FIELDSTONE  DR,ANTIOCH,$330.0k,36.0695907,-86.6182559,,,,,,20,8,3,6,20
1176,5017  W DURRETT  DR,NASHVILLE,$268.0k,36.0693407,-86.7377819,,,,,,20,12,3,20,20
1177,815  AEOLIA  DR,ANTIOCH,$278.0k,36.0693004,-86.6731292,,,,,,20,16,3,16,20
1178,108  GLENWAY  CT,NASHVILLE,$485.0k,36.0692361,-86.917548,,,,,,20,5,1,8,10
1179,1509  BROOKCHASE  CT,ANTIOCH,$270.0k,36.0689524,-86.5745934,,,,,,10,5,1,1,6
1180,803  GENERAL GEORGE PATTON  RD,NASHVILLE,$269.0k,36.0688806,-86.9485421,,,,,,19,5,3,7,10
1181,104  BELLE OAKS  CT,ANTIOCH,$340.0k,36.0686804,-86.6015637,,,,,,20,9,3,4,12
1182,1079  GENERAL GEORGE PATTON  RD,NASHVILLE,$300.0k,36.068564,-86.952804,,,,,,19,5,3,7,10
1183,712  KAEDEN POINTE  CT,ANTIOCH,$360.9k,36.0685156,-86.6267081,,,,,,20,9,3,6,20
1184,1409  CALAIS  CT,ANTIOCH,$315.0k,36.0684923,-86.6207542,,,,,,20,8,3,6,20
1185,7224  GREEN MEADOWS  LN,NASHVILLE,$372.5k,36.0683611,-86.9364521,,,,,,20,5,3,7,10
1186,4706  LORI  DR,ANTIOCH,$290.0k,36.0678556,-86.6776535,,,,,,20,16,3,17,20
1187,1428  CALAIS  CT,ANTIOCH,$330.3k,36.0676952,-86.6205622,,,,,,20,8,3,6,20
1188,3915  E RIDGE  DR,NASHVILLE,$340.0k,36.0675972,-86.6990891,,,,,,20,12,2,18,20
1189,1513  RICE HILL  CT,ANTIOCH,$251.5k,36.0674076,-86.6401483,,,,,,20,13,4,7,20
1190,712  BOWFIELD  CT,ANTIOCH,$280.0k,36.06722,-86.6669519,,,,,,20,14,3,11,20
1191,612  DURRETT  DR,NASHVILLE,$436.8k,36.0668188,-86.7327377,,,,,,20,12,3,20,20
1192,709  BOWFIELD  CT,ANTIOCH,$235.0k,36.0667913,-86.6667945,,,,,,20,14,3,10,20
1193,627  CRIEVE  RD,NASHVILLE,$360.0k,36.066759,-86.7666382,,,,,,20,11,4,20,20
1194,2064  TIMBERWOOD  DR,NASHVILLE,$880.0k,36.0667461,-86.8499843,,,,,,8,1,1,6,6
1195,3341  OAK TIMBER  DR,ANTIOCH,$302.4k,36.066533,-86.6104939,,,,,,20,8,3,6,20
1196,3929  E RIDGE  DR,NASHVILLE,$310.0k,36.0661545,-86.6990891,,,,,,20,14,2,18,20
1197,3620  LIPTON  PL,ANTIOCH,$275.0k,36.0649027,-86.6113606,,,,,,20,9,3,6,20
1198,598  WATSONWOOD  DR,NASHVILLE,$392.5k,36.0648255,-86.732777,,,,,,20,12,3,20,20
1199,598  WATSONWOOD  DR,NASHVILLE,$360.0k,36.0648255,-86.732777,,,,,,20,12,3,20,20
1200,489  HOGAN  RD,NASHVILLE,$589.0k,36.0647751,-86.7559952,,,,,,20,10,3,20,20
1201,377  MELPAR  DR,NASHVILLE,$249.9k,36.0647138,-86.7115528,,,,,,20,14,4,17,20
1202,6012  ROBERT E LEE  DR,NASHVILLE,$820.0k,36.0646829,-86.8158943,,,,,,20,4,2,20,20
1203,3942  E RIDGE  DR,NASHVILLE,$220.5k,36.0642735,-86.6985779,,,,,,20,14,2,18,20
1204,3942  E RIDGE  DR,NASHVILLE,$235.0k,36.0642735,-86.6985779,,,,,,20,14,2,18,20
1205,6937  SUNDERLAND  CIR,NASHVILLE,$584.0k,36.0641481,-86.9703473,,,,,,19,5,3,7,10
1206,7617  STAFFORDSHIRE  DR,NASHVILLE,$420.0k,36.0640918,-86.972322,,,,,,19,5,3,7,10
1207,3947  CREEKSIDE  DR,NASHVILLE,$275.0k,36.0637672,-86.7017127,,,,,,20,13,2,16,20
1208,513  GENERAL GEORGE PATTON  RD,NASHVILLE,$357.0k,36.0637533,-86.943211,,,,,,19,5,3,7,10
1209,7509  ROLLING RIVER  PKWY,NASHVILLE,$385.0k,36.0635971,-86.9660863,,,,,,17,5,3,7,10
1210,517  WESTCREST  DR,NASHVILLE,$421.5k,36.0632877,-86.7355276,,,,,,20,12,3,20,20
1211,5104  GREENTREE  DR,NASHVILLE,$446.2k,36.0631162,-86.7385924,,,,,,20,11,3,20,20
1212,640  DEVON  DR,NASHVILLE,$735.0k,36.0631117,-86.7667167,,,,,,20,10,4,20,20
1213,8833  SAWYER BROWN  RD,NASHVILLE,$240.0k,36.062785,-86.945565,,,,,,19,5,3,7,10
1214,4930  RAYWOOD  LN,NASHVILLE,$280.0k,36.0622736,-86.7138722,,,,,,20,14,4,17,20
1215,730  MCPHERSON  DR,NASHVILLE,$169.0k,36.062175,-86.934314,,,,,,20,5,1,7,10
1216,728  MCPHERSON  DR,NASHVILLE,$172.5k,36.0621719,-86.934252,,,,,,20,5,1,7,10
1217,4948  PACKARD  DR,NASHVILLE,$250.0k,36.0620295,-86.7049478,,,,,,20,13,2,15,20
1218,585  HILL CREEK  DR,NASHVILLE,$300.0k,36.0617061,-86.7366671,,,,,,20,12,3,20,20
1219,754  PIPPIN  DR,ANTIOCH,$240.0k,36.0614023,-86.6529764,,,,,,20,11,4,10,20
1220,8637  SAWYER BROWN  RD,NASHVILLE,$420.0k,36.061175,-86.945804,,,,,,19,5,3,7,10
1221,4971  BARELLA  DR,ANTIOCH,$375.0k,36.0609898,-86.6841048,,,,,,20,15,2,18,20
1222,7012  NORTHRIDGE  DR,NASHVILLE,$472.4k,36.0609595,-86.9560678,,,,,,19,5,3,7,10
1223,421  HICKORY GLADE  DR,ANTIOCH,$165.0k,36.060856,-86.705291,,,,,,20,13,2,15,20
1224,5046  CHERRYWOOD  DR,NASHVILLE,$400.0k,36.0607882,-86.7262562,,,,,,20,13,3,19,20
1225,506  HIGHCREST  DR,NASHVILLE,$410.0k,36.0607562,-86.723581,,,,,,20,13,3,18,20
1226,7912  HAYDENBERRY  CT,NASHVILLE,$545.0k,36.0606826,-86.9748953,,,,,,17,4,3,6,9
1227,6113  MONTCREST  DR,NASHVILLE,$1050.0k,36.060654,-86.848404,,,,,,6,1,2,5,3
1228,2009  STONEHURST  DR,NASHVILLE,$979.0k,36.0603899,-86.8447982,,,,,,3,0,2,10,6
1229,4860  CIMARRON  WAY,ANTIOCH,$310.0k,36.0601975,-86.6861502,,,,,,20,13,1,18,20
1230,490  WESTCREST  DR,NASHVILLE,$482.3k,36.060194,-86.7341131,,,,,,20,12,3,20,20
1231,4917  OLIVIA  DR,ANTIOCH,$225.0k,36.0597117,-86.6900833,,,,,,20,13,1,16,20
1232,505  OAKLEY  DR,NASHVILLE,$499.7k,36.0595384,-86.7585089,,,,,,20,11,3,20,20
1233,5412  ANCHORAGE  DR,NASHVILLE,$497.9k,36.0594947,-86.7695047,,,,,,20,10,4,20,20
1234,4041  MOSS  RD,ANTIOCH,$265.5k,36.0591783,-86.6646303,,,,,,20,13,3,11,20
1235,445  CLAIRCREST  DR,ANTIOCH,$200.0k,36.0590675,-86.702916,,,,,,20,13,2,18,20
1236,443  OAKLEY  DR,NASHVILLE,$562.0k,36.0589487,-86.7508104,,,,,,20,10,3,20,20
1237,365  TUSCULUM  RD,NASHVILLE,$180.0k,36.058925,-86.712457,,,,,,20,13,4,16,20
1238,466  CLAIRCREST  DR,ANTIOCH,$190.0k,36.058857,-86.702169,,,,,,20,13,2,18,20
1239,5974  MT VIEW  RD,ANTIOCH,$285.0k,36.058779,-86.6155026,,,,,,20,9,3,6,20
1240,3056   TALISMAN  WAY,ANTIOCH,$352.0k,36.058695,-86.6039439,,,,,,20,9,3,5,15
1241,3036   TALISMAN  WAY,ANTIOCH,$358.4k,36.058695,-86.6039439,,,,,,20,9,3,5,15
1242,0  MOSS  RD,ANTIOCH,$55.0k,36.0586769,-86.6630458,,,,,,20,13,3,11,20
1243,2045   HAMILTON HILL  DR,ANTIOCH,$361.6k,36.058624,-86.6023782,,,,,,20,9,3,5,14
1244,505  PIPPIN  DR,ANTIOCH,$386.5k,36.0586159,-86.6505015,,,,,,20,12,4,10,20
1245,7224  BELLE CHASSE  DR,NASHVILLE,$357.5k,36.058504,-86.969,,,,,,17,5,3,7,10
1246,7057  COTTON BLOSSOM  LN,NASHVILLE,$510.0k,36.058467,-86.9646965,,,,,,17,5,3,7,10
1247,408  CLAIRCREST  DR,ANTIOCH,$200.0k,36.0583389,-86.701872,,,,,,20,13,2,18,20
1248,1700  GLENRIDGE  DR,NASHVILLE,$480.0k,36.0583191,-86.9507353,,,,,,19,5,3,7,10
1249,467  WESTCREST  DR,NASHVILLE,$400.0k,36.0582405,-86.732502,,,,,,20,12,3,20,20
1250,7401  RIVER PARK  DR,NASHVILLE,$469.0k,36.058204,-86.9744726,,,,,,17,4,3,6,9
1251,5020  META  DR,NASHVILLE,$268.0k,36.0581555,-86.73484,,,,,,20,12,3,20,20
1252,4945  CIMARRON  WAY,ANTIOCH,$269.3k,36.0580851,-86.689572,,,,,,20,12,2,16,20
1253,2009  CROMWELL  DR,NASHVILLE,$1000.0k,36.0577208,-86.8518416,,,,,,2,0,2,5,3
1254,2207   POSTINGS  PT,ANTIOCH,$286.8k,36.0576767,-86.6021598,,,,,,20,9,3,5,14
1255,5518   HAMILTON  CIR,ANTIOCH,$300.0k,36.0567952,-86.5977288,,,,,,20,10,4,5,14
1256,1346  CROWN POINT  PL,NASHVILLE,$320.0k,36.056581,-86.736919,,,,,,20,12,3,20,20
1257,5015  OLIVIA  DR,ANTIOCH,$285.0k,36.0563766,-86.6907126,,,,,,20,11,2,17,20
1258,1628  HIGHWATER  DR,ANTIOCH,$371.0k,36.0559506,-86.6023782,,,,,,20,10,4,5,15
1259,1230  CLIFTEE  DR,BRENTWOOD,$285.0k,36.055319,-86.819126,,,,,,15,2,2,17,14
1260,1717  PORCHREST  WAY,ANTIOCH,$345.0k,36.0550645,-86.6022712,,,,,,20,10,4,5,16
1261,104  OCEANFRONT  CIR N,ANTIOCH,$229.9k,36.0546141,-86.5836597,,,,,,20,11,5,2,8
1262,1003   BRADBURN VILLAGE  DR,ANTIOCH,$247.6k,36.054271,-86.6105042,,,,,,20,9,3,6,17
1263,1021   BRADBURN VILLAGE  DR,ANTIOCH,$243.6k,36.054271,-86.6105042,,,,,,20,9,3,6,17
1264,5305  WESSEX  DR,NASHVILLE,$290.0k,36.0542691,-86.7082504,,,,,,20,13,2,15,20
1265,404  SHORELINE  CIR,ANTIOCH,$220.0k,36.0537219,-86.585118,,,,,,20,11,5,2,9
1266,256  DELVIN  DR,ANTIOCH,$279.0k,36.0532337,-86.6983419,,,,,,20,13,2,18,20
1267,7329   MARONEY  DR,ANTIOCH,$350.0k,36.0531074,-86.5926258,,,,,,20,10,4,2,10
1268,133  TUSCULUM  RD,ANTIOCH,$270.0k,36.0529445,-86.6901633,,,,,,20,11,2,17,20
1269,516  BRADBURN VILLAGE  CIR,ANTIOCH,$215.0k,36.0527009,-86.6124143,,,,,,20,9,3,6,17
1270,5236  GREEN LEAF  DR,NASHVILLE,$388.0k,36.0525553,-86.7200829,,,,,,20,14,4,17,20
1271,5170  HICKORY HOLLOW  PKWY,ANTIOCH,$290.0k,36.0520711,-86.6640105,,,,,,20,12,3,11,20
1272,5170  HICKORY HOLLOW  PKWY,ANTIOCH,$275.1k,36.0520711,-86.6640105,,,,,,20,12,3,11,20
1273,301  OCALA  CIR,NASHVILLE,$390.0k,36.0515314,-86.7048313,,,,,,20,13,2,17,20
1274,504  BROADWELL  DR,NASHVILLE,$630.0k,36.0509374,-86.7598246,,,,,,20,10,4,20,20
1275,443  HUNTINGTON RIDGE  DR,NASHVILLE,$2145.0k,36.0508851,-86.7282319,,,,,,20,14,3,19,20
1276,4316   SUMMERCREST  BLVD,ANTIOCH,$289.3k,36.050833,-86.6195536,,,,,,20,11,4,6,20
1277,1830  WILD OAKS  CT,ANTIOCH,$245.0k,36.0507992,-86.6431861,,,,,,20,11,4,7,20
1278,5433  HILL ROAD  CIR,NASHVILLE,$562.5k,36.0507739,-86.753673,,,,,,20,11,4,20,20
1279,2407  OLD HICKORY  BLVD,NASHVILLE,$1350.0k,36.0506047,-86.8829692,,,,,,6,2,1,2,2
1280,6925  COLLINSWOOD  DR,NASHVILLE,$450.0k,36.0503746,-86.9606264,,,,,,17,5,2,7,10
1281,133  OCALA  DR,ANTIOCH,$370.0k,36.050236,-86.6911846,,,,,,20,12,2,17,20
1282,644  TOBYLYNN  DR,NASHVILLE,$411.0k,36.0499811,-86.7346632,,,,,,20,12,3,19,20
