PID,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
1010,20,6,19,20,20,20,7,6,20,20
1011,20,6,18,20,20,20,5,5,20,20
1012,20,4,10,20,20,20,8,2,4,15
1013,20,4,11,20,20,20,8,2,4,14
1014,20,6,18,20,20,20,5,5,20,20
1015,20,6,18,20,20,20,5,5,20,20
1016,20,5,19,20,20,20,7,6,20,20
1017,20,7,17,20,20,20,10,2,3,20
1018,20,2,3,12,20,16,1,3,4,6
1019,20,5,19,20,20,20,7,8,20,20
1020,20,6,17,20,20,20,5,5,20,20
1021,20,6,17,20,20,20,5,5,20,20
1022,20,6,17,20,20,20,5,5,20,20
1023,20,5,10,20,20,18,3,2,20,18
1024,20,4,9,20,20,20,8,3,3,13
1025,20,3,6,19,20,20,4,3,6,9
1026,20,4,13,20,20,20,8,2,4,14
1027,20,6,15,20,20,19,5,4,20,20
1028,20,20,14,20,20,20,13,4,20,20
1029,20,20,14,20,20,20,13,4,20,20
1030,20,5,10,20,20,20,5,2,20,8
1031,20,6,14,20,20,20,8,2,4,16
1032,20,2,2,6,11,11,1,2,4,6
1033,20,5,15,20,20,19,5,4,20,20
1034,20,4,10,20,20,20,6,2,8,15
1035,20,4,9,20,20,20,8,3,3,13
1036,20,5,14,20,20,16,4,2,20,20
1037,20,5,13,20,20,20,9,2,4,16
1038,20,5,18,20,20,20,7,6,20,20
1039,20,11,18,20,20,20,8,7,20,20
1040,20,5,14,20,20,20,9,2,4,15
1041,20,5,13,20,20,20,9,3,4,15
1042,20,5,13,20,20,20,9,3,4,15
1043,20,5,13,20,20,20,9,3,4,15
1044,20,9,19,20,20,20,11,2,6,20
1045,20,9,19,20,20,20,11,2,6,20
1046,20,9,19,20,20,20,11,2,6,20
1047,20,6,14,20,20,15,4,2,20,20
1048,20,1,9,20,20,20,4,2,4,8
1049,20,20,14,20,20,20,12,4,17,20
1050,12,1,1,8,12,8,1,2,2,2
1051,20,1,6,20,20,14,3,2,5,5
1052,20,8,17,20,20,20,9,3,7,18
1053,20,9,17,20,20,20,9,3,7,18
1054,20,5,13,20,20,20,9,3,5,15
1055,20,9,20,20,20,20,10,2,8,20
1056,20,2,7,20,20,12,4,2,9,5
1057,20,1,9,20,20,20,4,2,5,7
1058,20,1,9,20,20,20,4,2,5,7
1059,20,20,14,20,20,20,13,3,20,20
1060,20,20,14,20,20,20,13,3,20,20
1061,20,1,9,20,20,20,4,2,5,7
1062,20,9,19,20,20,20,11,2,7,20
1063,20,2,2,10,16,12,1,3,4,6
1064,20,11,20,20,20,20,11,2,8,20
1065,20,10,20,20,20,20,11,2,7,20
1066,20,1,6,20,20,14,3,2,4,5
1067,20,3,14,20,20,19,5,2,20,20
1068,13,1,1,8,12,8,1,2,2,2
1069,20,4,7,20,20,20,6,3,8,11
1070,20,20,15,20,20,20,13,4,20,20
1071,20,3,13,20,20,19,5,1,17,20
1072,20,2,2,9,14,12,1,2,4,6
1073,20,9,20,20,20,20,11,3,7,20
1074,20,20,16,20,20,20,13,3,20,20
1075,20,20,16,20,20,20,13,3,20,20
1076,20,11,20,20,20,20,11,2,8,20
1077,20,11,20,20,20,20,11,2,8,20
1078,20,3,6,19,20,18,7,3,2,6
1079,20,4,10,20,20,20,8,3,3,12
1080,20,3,6,16,20,15,7,3,2,5
1081,3,1,1,7,11,8,1,2,0,1
1082,20,10,20,20,20,20,11,3,7,20
1083,20,10,20,20,20,20,12,3,8,20
1084,20,20,14,20,20,20,11,4,20,20
1085,20,5,13,20,20,20,8,3,6,16
1086,20,4,9,20,20,20,8,3,3,12
1087,20,5,12,20,20,20,8,3,5,14
1088,20,20,16,20,20,20,12,4,20,20
1089,20,3,12,20,20,19,5,1,13,20
1090,20,3,6,20,20,19,7,3,2,7
1091,20,10,20,20,20,20,11,2,8,20
1092,1,1,1,7,9,5,1,2,0,0
1093,20,10,20,20,20,20,11,3,8,20
1094,20,4,8,20,20,20,6,1,7,13
1095,20,10,20,20,20,20,11,2,8,20
1096,20,4,7,20,20,20,6,1,7,11
1097,20,4,7,20,20,20,6,3,8,11
1098,1,1,1,7,9,3,1,2,0,0
1099,20,4,7,20,20,20,6,3,8,11
1100,20,1,6,20,20,14,3,2,4,5
1101,20,1,6,20,20,14,3,2,4,5
1102,20,10,20,20,20,20,11,3,8,20
1103,20,20,14,20,20,20,10,4,20,20
1104,20,4,9,20,20,20,8,3,2,14
1105,20,4,7,20,20,20,6,3,8,11
1106,20,5,12,20,20,20,8,3,3,15
1107,20,11,20,20,20,20,12,3,9,20
1108,20,10,20,20,20,20,11,3,7,20
1109,20,4,7,20,20,20,6,1,8,11
1110,20,20,16,20,20,20,13,4,20,20
1111,20,20,16,20,20,20,13,4,20,20
1112,20,20,13,20,20,20,10,4,20,20
1113,20,20,13,20,20,20,10,4,20,20
1114,20,20,16,20,20,20,13,3,17,20
1115,20,13,20,20,20,20,12,3,14,20
1116,20,20,13,20,20,20,10,4,20,20
1117,20,20,19,20,20,20,12,4,20,20
1118,20,4,7,20,20,20,6,3,8,10
1119,20,11,20,20,20,20,12,3,8,20
1120,20,3,3,13,16,14,3,2,6,8
1121,20,20,16,20,20,20,11,4,20,20
1122,20,13,20,20,20,20,12,3,15,20
1123,20,11,20,20,20,20,12,3,9,20
1124,20,20,13,20,20,20,10,4,20,20
1125,20,4,10,20,20,20,9,3,2,14
1126,20,20,16,20,20,20,11,4,20,20
1127,20,11,20,20,20,20,12,3,8,20
1128,20,4,7,20,20,20,6,1,8,11
1129,20,5,12,20,20,20,8,3,5,17
1130,20,3,9,20,20,20,9,3,2,11
1131,20,4,7,20,20,20,6,3,8,11
1132,20,4,7,20,20,20,6,3,8,11
1133,20,5,12,20,20,20,8,3,5,17
1134,20,11,20,20,20,20,12,3,9,20
1135,20,4,6,20,20,20,5,3,8,10
1136,20,4,6,20,20,20,5,3,8,10
1137,20,5,13,20,20,20,8,3,6,17
1138,20,4,9,20,20,20,6,1,8,12
1139,20,19,16,20,20,20,12,3,13,20
1140,20,6,16,20,20,20,8,3,6,19
1141,20,19,16,20,20,20,12,3,13,20
1142,20,19,16,20,20,20,12,3,13,20
1143,20,4,7,20,20,20,6,1,8,10
1144,20,4,7,20,20,20,6,2,8,10
1145,20,4,6,20,20,20,5,3,8,10
1146,20,20,18,20,20,20,13,1,14,20
1147,20,10,19,20,20,20,8,3,6,20
1148,20,3,11,20,20,8,2,2,18,20
1149,20,4,10,20,20,20,9,3,2,14
1150,20,3,3,14,18,14,3,3,6,8
1151,20,2,11,20,20,12,2,1,12,20
1152,20,4,6,20,20,20,5,3,7,10
1153,20,4,6,20,20,20,5,3,8,10
1154,20,5,12,20,20,20,8,3,6,17
1155,20,3,11,20,20,8,2,2,18,20
1156,20,14,20,20,20,20,16,3,16,20
1157,20,5,13,20,20,20,4,4,20,20
1158,20,20,18,20,20,20,12,3,20,20
1159,20,4,6,20,20,20,5,2,8,10
1160,20,3,5,17,20,19,5,3,7,10
1161,20,3,10,20,20,20,7,3,2,11
1162,20,4,6,20,20,20,5,3,7,10
1163,20,6,16,20,20,20,8,3,6,20
1164,20,3,6,20,20,20,7,3,2,10
1165,20,3,7,20,20,19,4,1,6,10
1166,20,4,11,20,20,20,9,3,2,14
1167,20,11,20,20,20,20,12,3,9,20
1168,20,11,20,20,20,20,12,3,9,20
1169,20,20,13,20,20,20,11,3,20,20
1170,20,2,5,20,20,11,5,2,1,5
1171,20,6,16,20,20,20,8,3,6,19
1172,20,14,20,20,20,20,15,3,16,20
1173,20,4,6,20,20,20,5,3,7,10
1174,20,13,20,20,20,20,14,3,12,20
1175,20,3,6,20,20,16,7,3,2,6
1176,20,6,16,20,20,20,8,3,6,20
1177,20,20,15,20,20,20,12,3,20,20
1178,20,15,20,20,20,20,16,3,16,20
1179,20,4,6,20,20,20,5,1,8,10
1180,20,2,5,20,20,10,5,1,1,6
1181,20,4,6,20,20,19,5,3,7,10
1182,20,5,12,20,20,20,9,3,4,12
1183,20,4,5,20,20,19,5,3,7,10
1184,20,7,18,20,20,20,9,3,6,20
1185,20,6,16,20,20,20,8,3,6,20
1186,20,4,6,20,20,20,5,3,7,10
1187,20,17,20,20,20,20,16,3,17,20
1188,20,6,16,20,20,20,8,3,6,20
1189,20,20,20,20,20,20,12,2,18,20
1190,20,10,20,20,20,20,13,4,7,20
1191,20,13,20,20,20,20,14,3,11,20
1192,20,20,18,20,20,20,12,3,20,20
1193,20,13,20,20,20,20,14,3,10,20
1194,20,19,14,20,20,20,11,4,20,20
1195,20,1,3,20,20,8,1,1,6,6
1196,20,5,13,20,20,20,8,3,6,20
1197,20,20,20,20,20,20,14,2,18,20
1198,20,5,14,20,20,20,9,3,6,20
1199,20,20,17,20,20,20,12,3,20,20
1200,20,20,17,20,20,20,12,3,20,20
1201,20,18,14,20,20,20,10,3,20,20
1202,20,20,20,20,20,20,14,4,17,20
1203,20,6,14,20,20,20,4,2,20,20
1204,20,20,20,20,20,20,14,2,18,20
1205,20,20,20,20,20,20,14,2,18,20
1206,20,4,6,20,20,19,5,3,7,10
1207,20,3,6,20,20,19,5,3,7,10
1208,20,20,20,20,20,20,13,2,16,20
1209,20,4,5,20,20,19,5,3,7,10
1210,20,4,5,20,20,17,5,3,7,10
1211,20,20,16,20,20,20,12,3,20,20
1212,20,18,12,20,20,20,11,3,20,20
1213,20,19,14,20,20,20,10,4,20,20
1214,20,4,5,20,20,19,5,3,7,10
1215,20,20,20,20,20,20,14,4,17,20
1216,20,4,5,20,20,20,5,1,7,10
1217,20,4,5,20,20,20,5,1,7,10
1218,20,20,20,20,20,20,13,2,15,20
1219,20,20,13,20,20,20,12,3,20,20
1220,20,11,20,20,20,20,11,4,10,20
1221,20,4,5,20,20,19,5,3,7,10
1222,20,19,20,20,20,20,15,2,18,20
1223,20,4,5,20,20,19,5,3,7,10
1224,20,20,20,20,20,20,13,2,15,20
1225,20,20,18,20,20,20,13,3,19,20
1226,20,20,18,20,20,20,13,3,18,20
1227,20,3,4,19,20,17,4,3,6,9
1228,13,0,3,20,20,6,1,2,5,3
1229,20,1,4,20,20,3,0,2,10,6
1230,20,19,20,20,20,20,13,1,18,20
1231,20,20,16,20,20,20,12,3,20,20
1232,20,18,20,20,20,20,13,1,16,20
1233,20,19,16,20,20,20,11,3,20,20
1234,20,18,14,20,20,20,10,4,20,20
1235,20,13,20,20,20,20,13,3,11,20
1236,20,20,20,20,20,20,13,2,18,20
1237,20,20,14,20,20,20,10,3,20,20
1238,20,20,20,20,20,20,13,4,16,20
1239,20,20,20,20,20,20,13,2,18,20
1240,20,6,18,20,20,20,9,3,6,20
1241,20,4,13,20,20,20,9,3,5,15
1242,20,4,13,20,20,20,9,3,5,15
1243,20,13,20,20,20,20,13,3,11,20
1244,20,5,13,20,20,20,9,3,5,14
1245,20,10,20,20,20,20,12,4,10,20
1246,20,4,5,20,20,17,5,3,7,10
1247,20,4,5,20,20,17,5,3,7,10
1248,20,20,20,20,20,20,13,2,18,20
1249,20,4,5,20,20,19,5,3,7,10
1250,20,20,16,20,20,20,12,3,20,20
1251,20,3,4,20,20,17,4,3,6,9
1252,20,20,14,20,20,20,12,3,20,20
1253,20,18,20,20,20,20,12,2,16,20
1254,10,0,2,20,20,2,0,2,5,3
1255,20,5,13,20,20,20,9,3,5,14
1256,20,5,12,20,20,20,10,4,5,14
1257,20,18,11,20,20,20,12,3,20,20
1258,20,18,20,20,20,20,11,2,17,20
1259,20,5,13,20,20,20,10,4,5,15
1260,20,4,6,20,20,15,2,2,17,14
1261,20,5,13,20,20,20,10,4,5,16
1262,20,5,8,20,20,20,11,5,2,8
1263,20,6,16,20,20,20,9,3,6,17
1264,20,6,16,20,20,20,9,3,6,17
1265,20,20,20,20,20,20,13,2,15,20
1266,20,5,8,20,20,20,11,5,2,9
1267,20,19,20,20,20,20,13,2,18,20
1268,20,5,11,20,20,20,10,4,2,10
1269,20,16,20,20,20,20,11,2,17,20
1270,20,6,16,20,20,20,9,3,6,17
1271,20,20,18,20,20,20,14,4,17,20
1272,20,12,20,20,20,20,12,3,11,20
1273,20,12,20,20,20,20,12,3,11,20
1274,20,20,20,20,20,20,13,2,17,20
1275,20,16,15,20,20,20,10,4,20,20
1276,20,20,15,20,20,20,14,3,19,20
1277,20,5,18,20,20,20,11,4,6,20
1278,20,9,20,20,20,20,11,4,7,20
1279,20,19,16,20,20,20,11,4,20,20
1280,20,1,3,20,20,6,2,1,2,2
1281,20,4,5,20,20,17,5,2,7,10
1282,20,16,20,20,20,20,12,2,17,20
1283,20,17,12,20,20,20,12,3,19,20
1284,20,17,20,20,20,20,12,2,18,20
1285,20,4,5,20,20,17,5,2,7,10
1286,20,18,14,20,20,20,12,3,20,20
1287,20,4,6,20,20,15,2,2,16,14
1288,20,20,15,20,20,20,14,4,18,20
1289,20,17,13,20,20,20,11,3,20,20
1290,20,4,5,20,20,17,5,1,7,10
1291,20,4,6,20,20,15,2,2,16,14
1292,13,0,1,7,9,4,1,0,1,1
1293,20,9,20,20,20,20,12,4,6,20
1294,20,4,5,20,20,17,5,1,7,10
1295,20,18,20,20,20,20,12,2,14,20
1296,20,13,16,20,20,20,9,4,20,20
1297,20,3,5,20,20,11,5,2,5,6
1298,20,4,5,20,20,17,5,1,7,10
1299,20,4,11,20,20,20,11,6,2,8
1300,20,15,11,20,20,20,12,3,18,20
1301,20,19,20,20,20,20,12,2,17,20
1302,20,9,20,20,20,20,12,4,6,20
1303,20,19,14,20,20,20,14,4,17,20
1304,20,4,10,20,20,20,11,6,2,6
1305,20,4,10,20,20,20,11,6,2,6
1306,20,14,16,20,20,20,10,4,20,20
1307,20,5,16,20,20,20,9,5,6,15
1308,20,15,16,20,20,20,10,3,20,20
1309,20,4,5,20,20,17,5,1,7,10
1310,20,14,16,20,20,20,10,3,20,20
1311,20,3,18,20,20,20,4,8,1,13
1312,20,10,20,20,20,20,11,2,10,20
1313,20,14,16,20,20,20,10,3,20,20
1314,20,5,6,20,20,16,2,1,16,14
1315,20,3,8,20,20,20,9,4,1,6
1316,20,4,16,20,20,20,8,5,6,15
1317,20,3,2,14,20,12,3,0,5,6
1318,20,7,14,20,20,20,6,4,20,19
1319,20,5,15,20,20,20,10,6,6,16
